date,weekday,1.67,1.34,1.66,2.67,OT hr SUM,Base,Travel,OT Salary,Total,Month SLR,Remark
2025-10-23,四,0,0,0,0,0.00,2266.67,1236.00,0.00,3502.67,,
2025-10-24,五,0,0,0,0,0.00,2266.67,1236.00,0.00,3502.67,,
2025-10-25,六,0,2,6,4,23.32,2266.67,1236.00,6607.33,10110.00,,
2025-10-26,日,0,0,0,0,0.00,2266.67,1236.00,0.00,3502.67,,
2025-10-27,一,0,2,0,0,2.68,2266.67,1236.00,759.33,4262.00,,
2025-10-28,二,0,2,0,0,2.68,2266.67,1236.00,759.33,4262.00,,
2025-10-29,三,0,2,0,0,2.68,2266.67,1236.00,759.33,4262.00,,
2025-10-30,四,0,2,0,0,2.68,2266.67,1236.00,759.33,4262.00,,
2025-10-31,五,2,2,0,0,6.02,2266.67,1236.00,1705.67,5208.33,,
2025-11-01,六,0,2,6,4,23.32,2266.67,1236.00,6607.33,10110.00,,
2025-11-02,日,0,0,0,0,0.00,2266.67,1236.00,0.00,3502.67,,
2025-11-03,一,0,2,0,0,2.68,2266.67,1236.00,759.33,4262.00,,
2025-11-04,二,3,2,0,0,7.69,2266.67,1236.00,2178.83,5681.50,,
2025-11-05,三,0,2,0,0,2.68,2266.67,1236.00,759.33,4262.00,,